"","City","lon","lat"
"564","балтийск",19.916667,54.65
"565","секешфехервар",18.416667,47.2
"566","салерно",14.766667,40.683333
"567","тарквиния",11.756111,42.249167
"568","зальцбург",13.033333,47.8
"569","лихославль",35.466667,57.116667
"570","котельнич",48.333333,58.3
"571","бхилаи",81.366667,21.2
"572","епифань",38.552222,53.826667
"573","пущино",37.616667,54.833333
"574","кинель",50.616667,53.233333
"575","лейден",4.494722,52.154444
"576","роттердам",4.479167,51.930833
"577","керман",57.066667,30.283333
"578","тебриз",46.283333,38.083333
"579","волжск",48.35,55.866667
"580","гиссар",68.538056,38.526389
"581","березно",26.75,51
"582","гаага",4.3175,52.084167
"583","монреаль",-73.554167,45.508889
"584","устюжна",36.433333,58.833333
"585","фрейбург",24.733333,-26.95
"586","тольятти",49.416667,53.516667
"587","геленджик",38.076667,44.560833
"588","сарны",26.633056,51.326944
"589","тонкино",46.459722,57.371944
"590","миасс",60.1,55.05
"591","цалка",44.095278,41.598333
"592","чоп",22.2,48.433333
"593","казанлык",25.4,42.616667
"594","люберцы",37.893889,55.681389
"595","гаэта",13.566667,41.216667
"596","симеиз",33.990278,44.4
"597","чунцин",106.506944,29.55
"598","балтимор",-76.615,39.286389
"599","ряжск",40.066667,53.716667
"600","кинешма",42.15,57.45
"601","алагир",44.210556,43.041667
"602","майнц",8.266667,50
"603","ноттингем",-1.149167,52.955
"604","кузнецк",46.6,53.116667
"605","тульчин",28.849722,48.674444
"606","городец",43.470278,56.650278
"607","саранск",45.183333,54.183333
"608","несвиж",26.666667,53.216667
"609","золинген",7.083333,51.166667
"610","ангарск",103.916667,52.566667
"611","триполи",13.183333,32.9
"612","миллерово",40.4,48.916667
"613","ольвия",31.903611,46.6925
"614","химки",37.445,55.889167
"615","ялуторовск",66.3,56.65
"616","карабаш",60.2,55.483333
"617","коростень",28.65,50.95
"618","валуйки",38.116667,50.183333
"619","бердянск",36.784501,46.759787
"620","цюрих",8.54,47.378611
"621","туров",27.736111,52.069167
"622","люблин",22.566667,51.233333
"623","невель",29.933333,56.016667
"624","пхеньян",125.73,39.03
"625","славута",26.868333,50.302778
"626","иокогама",139.633333,35.433333
"627","бахмач",32.826944,51.18
"628","ропша",29.871747,59.734096
"629","дижон",5.042778,47.323889
"630","ходейда",42.951111,14.802222
"631","купянск",37.616667,49.706389
"632","беслан",44.521667,43.188889
"633","липецк",39.6,52.616667
"634","франкфурт-на-майне",8.679722,50.113611
"635","зимогорье",38.933333,48.583333
"636","надым",72.516667,65.533333
"637","батуми",41.641667,41.645833
"638","порхов",29.55,57.766667
"639","гороховец",42.6925,56.202778
"640","шарлеруа",4.444167,50.416667
"641","россошь",39.583333,50.2
"642","шатура",39.544633,55.577672
"643","нагпур",79.083056,21.153889
"644","мглин",32.848333,53.061111
"645","могоча",119.766667,53.733333
"646","екабпилс",25.866389,56.4975
"647","бизерта",9.866667,37.266667
"648","кентербери",1.0775,51.278333
"649","кобеляки",34.19927,49.14736
"650","оймякон",142.783333,63.45
"651","душанбе",68.786389,38.573056
"652","ухта",53.7,63.566667
"653","туринск",63.7,58.033333
"654","дюнкерк",2.3775,51.038333
"655","нант",-1.552778,47.218056
"656","лос-анджелес",-118.266667,34.033333
"657","вальпараисо",-71.633333,-33.066667
"658","патна",85.133333,25.616667
"659","гаспра",34.110556,44.436111
"660","канск",95.7,56.2
"661","танжер",-5.8125,35.784722
"662","амритсар",74.85,31.616667
"663","орск",58.616667,51.2
"664","краснодон",39.733333,48.3
